r1,r2,a1,b1,a2,b2,a3,b3,a4,b4,ratio
4,75,4,5,1,15,0,0,0,0,0.05333333333333334
121,2268,11,12,11,9,5,7,1,15,0.05335097001763668
2197,41160,13,14,13,14,13,14,1,15,0.05337706511175899
84,1573,9,11,14,11,10,13,1,15,0.05340114431023522
243,4550,9,10,9,7,9,13,1,15,0.05340659340659341
25,468,5,6,5,4,10,13,1,15,0.053418803418803416
144,2695,6,7,8,7,9,11,1,15,0.05343228200371058
147,2750,9,10,14,11,7,10,1,15,0.053454545454545456
77,1440,11,12,7,8,1,15,0,0,0.05347222222222222
1456,27225,13,11,8,11,14,15,1,15,0.05348025711662075
13,243,13,12,5,6,8,9,1,15,0.053497942386831275
1573,29400,11,10,11,14,13,14,1,15,0.05350340136054422
588,10985,14,13,14,13,9,13,1,15,0.05352753755120619
162,3025,9,10,12,11,9,11,1,15,0.053553719008264465
3,56,9,8,5,7,1,15,0,0,0.05357142857142857
784,14625,14,15,14,15,12,13,1,15,0.053606837606837605
637,11880,13,11,7,9,7,8,1,15,0.05361952861952862
847,15795,11,13,11,9,7,9,1,15,0.053624564735675846
169,3150,13,14,13,15,1,15,0,0,0.05365079365079365
189,3520,9,8,7,8,9,11,1,15,0.05369318181818182
363,6760,9,8,11,13,11,13,1,15,0.05369822485207101
192,3575,12,13,6,5,8,11,1,15,0.053706293706293706
13,242,13,12,9,11,10,11,1,15,0.05371900826446281
44,819,15,14,11,13,8,9,1,15,0.05372405372405373
196,3645,7,6,7,9,8,9,1,15,0.05377229080932785
121,2250,11,10,11,15,1,15,0,0,0.05377777777777778
100,1859,15,13,10,11,10,13,1,15,0.05379236148466918
7,130,14,13,3,4,1,15,0,0,0.05384615384615385
16,297,8,9,10,11,1,15,0,0,0.05387205387205387
66,1225,8,7,11,14,9,10,1,15,0.053877551020408164
182,3375,14,15,13,15,1,15,0,0,0.053925925925925926
54,1001,15,14,12,11,9,13,1,15,0.053946053946053944
98,1815,9,11,14,11,7,9,1,15,0.05399449035812672
1232,22815,14,13,8,9,11,13,1,15,0.05399956169186938
27,500,9,10,9,10,1,15,0,0,0.054
35,648,5,6,5,4,7,9,1,15,0.05401234567901234
121,2240,9,8,11,12,11,14,1,15,0.054017857142857145
104,1925,9,11,8,7,13,15,1,15,0.054025974025974026
